 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA
 'contemptible','scoundrel', 'contemptible scoundrel' ,'stole','scoundrel stole','contemptible stole' , HUM, ind 
 'scar-faced','bounty', 'scar-faced bounty' ,'hunter','bounty hunter','scar-faced hunter' , HUM, ind 
 'ozzy','osbourne', 'ozzy osbourne' ,'born','osbourne born','ozzy born' , NUM, date 
 'sprawling','us', 'sprawling us' ,'state','us state','sprawling state' , LOC, state 
 'jews','executed', 'jews executed' ,'concentration','executed concentration','jews concentration' , NUM, count 
 'date','boxing', 'date boxing' ,'day','boxing day','date day' , NUM, date 
 '11','famous', '11 famous' ,'martyrs','famous martyrs','11 martyrs' , HUM, ind 
 'inventor','silly', 'inventor silly' ,'putty','silly putty','inventor putty' , HUM, ind 
 'highest','waterfall', 'highest waterfall' ,'united','waterfall united','highest united' , LOC, other 
 'states','enclose', 'states enclose' ,'chesapeake','enclose chesapeake','states chesapeake' , LOC, state 
 'points','make', 'points make' ,'perfect','make perfect','points perfect' , NUM, count 
 'community','chest', 'community chest' ,'cards','chest cards','community cards' , NUM, count 
 'did','neanderthal', 'did neanderthal' ,'man','neanderthal man','did man' , NUM, date 
 'adventures','of', 'adventures of' ,'','of ','adventures ' , LOC, other 
 'people','world', 'people world' ,'speak','world speak','people speak' , NUM, count 
 'inches','feet', 'inches feet' ,'venus','feet venus','inches venus' , NUM, count 
 '1920s','cowboy', '1920s cowboy' ,'star','cowboy star','1920s star' , HUM, ind 
 'country','galapagos', 'country galapagos' ,'islands','galapagos islands','country islands' , LOC, country 
 'prophet','muslim', 'prophet muslim' ,'people','muslim people','prophet people' , HUM, ind 
 'snoopy','is', 'snoopy is' ,'arch-enemy','is arch-enemy','snoopy arch-enemy' , HUM, ind 
 'us','state', 'us state' ,'lived','state lived','us lived' , LOC, state 
 'country','is', 'country is' ,'capital','is capital','country capital' , LOC, country 
