 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA 
 'what','contemptible', 'what contemptible' ,'scoundrel','contemptible scoundrel','what scoundrel' ,HUM,ind 
 'scar-faced','bounty', 'scar-faced bounty' ,'hunter','bounty hunter','scar-faced hunter' ,HUM,ind 
 'when','ozzy', 'when ozzy' ,'osbourne','ozzy osbourne','when osbourne' ,NUM,date 
 'who','pride', 'who pride' ,'yankees','pride yankees','who yankees' ,HUM,ind 
 'who','killed', 'who killed' ,'gandhi','killed gandhi','who gandhi' ,HUM,ind 
 'what','sprawling', 'what sprawling' ,'us','sprawling us','what us' ,LOC,state 
 'jews','executed', 'jews executed' ,'concentration','executed concentration','jews concentration' ,NUM,count 
 'what','date', 'what date' ,'boxing','date boxing','what boxing' ,NUM,date 
 '11','famous', '11 famous' ,'martyrs','famous martyrs','11 martyrs' ,HUM,ind 
 'who','inventor', 'who inventor' ,'silly','inventor silly','who silly' ,HUM,ind 
 'what','highest', 'what highest' ,'waterfall','highest waterfall','what waterfall' ,LOC,other 
 'states','enclose', 'states enclose' ,'chesapeake','enclose chesapeake','states chesapeake' ,LOC,state 
 'points','make', 'points make' ,'perfect','make perfect','points perfect' ,NUM,count 
 'community','chest', 'community chest' ,'cards','chest cards','community cards' ,NUM,count 
 'when','did', 'when did' ,'neanderthal','did neanderthal','when neanderthal' ,NUM,date 
 'where','adventures', 'where adventures' ,'of','adventures of','where of' ,LOC,other 
 'people','world', 'people world' ,'speak','world speak','people speak' ,NUM,count 
 'inches','feet', 'inches feet' ,'venus','feet venus','inches venus' ,NUM,count 
 'what','1920s', 'what 1920s' ,'cowboy','1920s cowboy','what cowboy' ,HUM,ind 
 'what','country', 'what country' ,'galapagos','country galapagos','what galapagos' ,LOC,country 
 'who','prophet', 'who prophet' ,'muslim','prophet muslim','who muslim' ,HUM,ind 
 'who','snoopy', 'who snoopy' ,'is','snoopy is','who is' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','herb', 'who herb' ,'tootsie','herb tootsie','who tootsie' ,HUM,ind 
 'city','oldest', 'city oldest' ,'relationship','oldest relationship','city relationship' ,LOC,city 
 'what','names', 'what names' ,'tourist','names tourist','what tourist' ,LOC,other 
 'what','body', 'what body' ,'water','body water','what water' ,LOC,other 
 'who','founder', 'who founder' ,'scientology','founder scientology','who scientology' ,HUM,ind 
 'who','starred', 'who starred' ,'singing','starred singing','who singing' ,HUM,ind 
 'what','19th-century', 'what 19th-century' ,'painter','19th-century painter','what painter' ,HUM,ind 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'species','great', 'species great' ,'white','great white','species white' ,NUM,count 
 'what','nickname', 'what nickname' ,'state','nickname state','what state' ,LOC,state 
 'villi','small', 'villi small' ,'intestine','small intestine','villi intestine' ,NUM,count 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'who','marx', 'who marx' ,'brothers','marx brothers','who brothers' ,HUM,ind 
 'year','new', 'year new' ,'zealand','new zealand','year zealand' ,NUM,date 
 'when','did', 'when did' ,'cnn','did cnn','when cnn' ,NUM,date 
 'when','did', 'when did' ,'rococo','did rococo','when rococo' ,NUM,date 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','invented', 'who invented' ,'make-up','invented make-up','who make-up' ,HUM,ind 
 'following','rhodes', 'following rhodes' ,'scholar','rhodes scholar','following scholar' ,HUM,ind 
 'who','comprised', 'who comprised' ,'now-defunct','comprised now-defunct','who now-defunct' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'where','highest', 'where highest' ,'point','highest point','where point' ,LOC,mount 
 'where','does', 'where does' ,'barney','does barney','where barney' ,LOC,other 
 'what','world', 'what world' ,'is','world is','what is' ,LOC,other 
 'where','internet', 'where internet' ,'i','internet i','where i' ,LOC,other 
 'money','does', 'money does' ,'injury','does injury','money injury' ,NUM,money 
 'where','i', 'where i' ,'list','i list','where list' ,LOC,other 
 'long','does', 'long does' ,'blood','does blood','long blood' ,NUM,period 
 'what','crooner', 'what crooner' ,'joined','crooner joined','what joined' ,HUM,ind 
 'when','did', 'when did' ,'bounty','did bounty','when bounty' ,NUM,date 
 'cost','purchase', 'cost purchase' ,'2-foot-square','purchase 2-foot-square','cost 2-foot-square' ,NUM,money 
 'what','actress', 'what actress' ,'received','actress received','what received' ,HUM,ind 
 'years','fossils', 'years fossils' ,'form','fossils form','years form' ,NUM,count 
 'what','city', 'what city' ,'boasts','city boasts','what boasts' ,LOC,city 
 'hostages','killed', 'hostages killed' ,'entebbe','killed entebbe','hostages entebbe' ,NUM,count 
 'who','earns', 'who earns' ,'money','earns money','who money' ,HUM,ind 
 'who','founded', 'who founded' ,'people','founded people','who people' ,HUM,ind 
 'what','athlete', 'what athlete' ,'makes','athlete makes','what makes' ,HUM,ind 
