  @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA
 
 'what','contemptible', 'what contemptible' ,'scoundrel','contemptible scoundrel','what scoundrel' ,HUM,ind 
 'scar-faced','bounty', 'scar-faced bounty' ,'hunter','bounty hunter','scar-faced hunter' ,HUM,ind 
 'when','ozzy', 'when ozzy' ,'osbourne','ozzy osbourne','when osbourne' ,NUM,date 
 'who','pride', 'who pride' ,'yankees','pride yankees','who yankees' ,HUM,ind 
 'who','killed', 'who killed' ,'gandhi','killed gandhi','who gandhi' ,HUM,ind 
 'what','sprawling', 'what sprawling' ,'us','sprawling us','what us' ,LOC,state 
 'how','jews', 'how jews' ,'executed','jews executed','how executed' ,NUM,count 
 'what','date', 'what date' ,'boxing','date boxing','what boxing' ,NUM,date 
 '11','famous', '11 famous' ,'martyrs','famous martyrs','11 martyrs' ,HUM,ind 
 'who','inventor', 'who inventor' ,'silly','inventor silly','who silly' ,HUM,ind 
 'what','highest', 'what highest' ,'waterfall','highest waterfall','what waterfall' ,LOC,other 
 'which','states', 'which states' ,'enclose','states enclose','which enclose' ,LOC,state 
 'how','points', 'how points' ,'make','points make','how make' ,NUM,count 
 'how','community', 'how community' ,'chest','community chest','how chest' ,NUM,count 
 'when','did', 'when did' ,'neanderthal','did neanderthal','when neanderthal' ,NUM,date 
 'where','adventures', 'where adventures' ,'of','adventures of','where of' ,LOC,other 
 'how','people', 'how people' ,'world','people world','how world' ,NUM,count 
 'how','inches', 'how inches' ,'feet','inches feet','how feet' ,NUM,count 
 'what','1920s', 'what 1920s' ,'cowboy','1920s cowboy','what cowboy' ,HUM,ind 
 'what','country', 'what country' ,'galapagos','country galapagos','what galapagos' ,LOC,country 
 'who','prophet', 'who prophet' ,'muslim','prophet muslim','who muslim' ,HUM,ind 
 'who','snoopy', 'who snoopy' ,'is','snoopy is','who is' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','herb', 'who herb' ,'tootsie','herb tootsie','who tootsie' ,HUM,ind 
 'which','city', 'which city' ,'oldest','city oldest','which oldest' ,LOC,city 
 'what','names', 'what names' ,'tourist','names tourist','what tourist' ,LOC,other 
 'what','body', 'what body' ,'water','body water','what water' ,LOC,other 
 'who','founder', 'who founder' ,'scientology','founder scientology','who scientology' ,HUM,ind 
 'who','starred', 'who starred' ,'singing','starred singing','who singing' ,HUM,ind 
 'what','19th-century', 'what 19th-century' ,'painter','19th-century painter','what painter' ,HUM,ind 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'how','species', 'how species' ,'great','species great','how great' ,NUM,count 
 'what','nickname', 'what nickname' ,'state','nickname state','what state' ,LOC,state 
 'how','villi', 'how villi' ,'small','villi small','how small' ,NUM,count 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'who','marx', 'who marx' ,'brothers','marx brothers','who brothers' ,HUM,ind 
 'which','year', 'which year' ,'new','year new','which new' ,NUM,date 
 'when','did', 'when did' ,'cnn','did cnn','when cnn' ,NUM,date 
 'when','did', 'when did' ,'rococo','did rococo','when rococo' ,NUM,date 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'who','invented', 'who invented' ,'make-up','invented make-up','who make-up' ,HUM,ind 
 'which','following', 'which following' ,'rhodes','following rhodes','which rhodes' ,HUM,ind 
 'who','comprised', 'who comprised' ,'now-defunct','comprised now-defunct','who now-defunct' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'where','highest', 'where highest' ,'point','highest point','where point' ,LOC,mount 
 'where','does', 'where does' ,'barney','does barney','where barney' ,LOC,other 
 'what','world', 'what world' ,'is','world is','what is' ,LOC,other 
 'where','internet', 'where internet' ,'i','internet i','where i' ,LOC,other 
 'how','money', 'how money' ,'does','money does','how does' ,NUM,money 
 'where','i', 'where i' ,'list','i list','where list' ,LOC,other 
 'how','long', 'how long' ,'does','long does','how does' ,NUM,period 
 'what','crooner', 'what crooner' ,'joined','crooner joined','what joined' ,HUM,ind 
 'when','did', 'when did' ,'bounty','did bounty','when bounty' ,NUM,date 
 'how','cost', 'how cost' ,'purchase','cost purchase','how purchase' ,NUM,money 
 'what','actress', 'what actress' ,'received','actress received','what received' ,HUM,ind 
 'how','years', 'how years' ,'fossils','years fossils','how fossils' ,NUM,count 
 'what','city', 'what city' ,'boasts','city boasts','what boasts' ,LOC,city 
 'how','hostages', 'how hostages' ,'killed','hostages killed','how killed' ,NUM,count 
 'who','earns', 'who earns' ,'their','earns their','who their' ,HUM,ind 
 'who','founded', 'who founded' ,'people','founded people','who people' ,HUM,ind 
 'what','athlete', 'what athlete' ,'makes','athlete makes','what makes' ,HUM,ind 
 'how','bends', 'how bends' ,'standard','bends standard','how standard' ,NUM,count 
 'who','discovered', 'who discovered' ,'electricity','discovered electricity','who electricity' ,HUM,ind 
 'who','american', 'who american' ,'space','american space','who space' ,HUM,ind 
 'what','south', 'what south' ,'american','south american','what american' ,LOC,country 
 'what','busiest', 'what busiest' ,'air','busiest air','what air' ,NUM,date 
 'where','rose', 'where rose' ,'bowl','rose bowl','where bowl' ,LOC,other 
 'who','mayor', 'who mayor' ,'marbella','mayor marbella','who marbella' ,HUM,ind 
 'what','sun-blasted', 'what sun-blasted' ,'','sun-blasted ','what ' ,LOC,other 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'how','months', 'how months' ,'does','months does','how does' ,NUM,count 
 'where','49', 'where 49' ,'steps','49 steps','where steps' ,LOC,other 
 'what','year', 'what year' ,'gaulle','year gaulle','what gaulle' ,NUM,date 
 'who','sings', 'who sings' ,'themes','sings themes','who themes' ,HUM,ind 
 'who','directed', 'who directed' ,'','directed ','who ' ,HUM,ind 
 'how','colonies', 'how colonies' ,'involved','colonies involved','how involved' ,NUM,count 
 'what','city', 'what city' ,'maurizio','city maurizio','what maurizio' ,LOC,city 
 'where','i', 'where i' ,'pictorial','i pictorial','where pictorial' ,LOC,other 
 'what','managing', 'what managing' ,'director','managing director','what director' ,HUM,ind 
 'what','winter', 'what winter' ,'months','winter months','what months' ,NUM,date 
 'what','country', 'what country' ,'contains','country contains','what contains' ,LOC,country 
 'where','kalahari', 'where kalahari' ,'desert','kalahari desert','where desert' ,LOC,other 
 'what','city', 'what city' ,'called','city called','what called' ,LOC,city 
 'who','created', 'who created' ,'dennis','created dennis','who dennis' ,HUM,ind 
 'what','dummy', 'what dummy' ,'received','dummy received','what received' ,HUM,ind 
 'when','wall', 'when wall' ,'street','wall street','when street' ,NUM,date 
 'what','countries', 'what countries' ,'largest','countries largest','what largest' ,LOC,country 
 'alvin','is', 'alvin is' ,'brothers','is brothers','alvin brothers' ,HUM,ind 
 'when','did', 'when did' ,'royal','did royal','when royal' ,NUM,date 
 'what','actor', 'what actor' ,'said','actor said','what said' ,HUM,ind 
 'what','explorer', 'what explorer' ,'nicknamed','explorer nicknamed','what nicknamed' ,HUM,ind 
 'cnn','began', 'cnn began' ,'broadcasting','began broadcasting','cnn broadcasting' ,NUM,date 
 'what','south', 'what south' ,'american','south american','what american' ,LOC,city 
 'how','species', 'how species' ,'sharks','species sharks','how sharks' ,NUM,count 
 'how','people', 'how people' ,'world','people world','how world' ,NUM,count 
 'what','acreage', 'what acreage' ,'chappellet','acreage chappellet','what chappellet' ,NUM,volsize 
 'when','did', 'when did' ,'beethoven','did beethoven','when beethoven' ,NUM,date 
 'how','does', 'how does' ,'new','does new','how new' ,NUM,money 
 'what','european', 'what european' ,'countries','european countries','what countries' ,LOC,country 
 'what','russian', 'what russian' ,'composer','russian composer','what composer' ,HUM,ind 
 'who','mother', 'who mother' ,'man','mother man','who man' ,HUM,ind 
 'how','revolutions', 'how revolutions' ,'does','revolutions does','how does' ,NUM,count 
 'what','tallest', 'what tallest' ,'mountain','tallest mountain','what mountain' ,LOC,mount 
